#R[cm]          y[R_S0]         x        tau
6.47586257e+15  0.00791415114  1  2.16811895e-06
6.49161893e+15  0.00793340699  1  2.16811895e-06
6.50737528e+15  0.00795266283  1  2.16811895e-06
6.52313164e+15  0.00797191867  0.999999985  2.17556953e-06
6.538888e+15  0.00799117451  1  2.17556953e-06
6.55464435e+15  0.00801043035  1  2.17556953e-06
6.57040071e+15  0.0080296862  1  2.17556953e-06
6.58615707e+15  0.00804894204  0.999999993  2.17929482e-06
6.60191342e+15  0.00806819788  0.999999993  2.18302011e-06
6.61766978e+15  0.00808745372  0.999999993  2.18674541e-06
6.63342614e+15  0.00810670957  0.999999993  2.1904707e-06
6.64918249e+15  0.00812596541  0.999999993  2.19419599e-06
6.66493885e+15  0.00814522125  0.999999993  2.19792128e-06
6.6806952e+15  0.00816447709  0.999999993  2.20164657e-06
6.69645156e+15  0.00818373293  0.999999993  2.20537186e-06
6.71220792e+15  0.00820298878  0.999999993  2.20909715e-06
6.72796427e+15  0.00822224462  0.999999993  2.21282244e-06
6.74372063e+15  0.00824150046  0.999999993  2.21654773e-06
6.75947699e+15  0.0082607563  0.999999993  2.22027302e-06
6.77523334e+15  0.00828001215  0.999999993  2.22399831e-06
6.7909897e+15  0.00829926799  0.999999993  2.2277236e-06
6.80674606e+15  0.00831852383  0.999999993  2.23144889e-06
6.82250241e+15  0.00833777967  0.999999993  2.23517418e-06
6.83825877e+15  0.00835703551  0.999999993  2.23889947e-06
6.85401513e+15  0.00837629136  0.999999993  2.24262476e-06
6.86977148e+15  0.0083955472  0.999999993  2.24635005e-06
6.88552784e+15  0.00841480304  0.999999993  2.25007534e-06
6.9012842e+15  0.00843405888  0.999999993  2.25380063e-06
6.91704055e+15  0.00845331473  0.999999993  2.25752592e-06
6.93279691e+15  0.00847257057  0.999999993  2.26125121e-06
6.94855327e+15  0.00849182641  0.999999993  2.2649765e-06
6.96430962e+15  0.00851108225  0.999999993  2.26870179e-06
6.98006598e+15  0.00853033809  0.999999993  2.27242708e-06
6.99582234e+15  0.00854959394  0.999999993  2.27615237e-06
7.01157869e+15  0.00856884978  0.999999993  2.27987766e-06
7.02733505e+15  0.00858810562  0.999999993  2.28360295e-06
7.04309141e+15  0.00860736146  0.999999993  2.28732824e-06
7.05884776e+15  0.00862661731  0.999999993  2.29105353e-06
7.07460412e+15  0.00864587315  0.999999993  2.29477882e-06
7.09036048e+15  0.00866512899  0.999999993  2.29850411e-06
7.10611683e+15  0.00868438483  0.999999993  2.3022294e-06
7.12187319e+15  0.00870364067  0.999999993  2.30595469e-06
7.13762955e+15  0.00872289652  0.999999993  2.30967999e-06
7.1533859e+15  0.00874215236  0.999999993  2.31340528e-06
7.16914226e+15  0.0087614082  0.999999993  2.31713057e-06
7.18489862e+15  0.00878066404  0.999999993  2.32085586e-06
7.20065497e+15  0.00879991988  0.999999993  2.32458115e-06
7.21641133e+15  0.00881917573  0.999999985  2.33203173e-06
7.23216769e+15  0.00883843157  0.999999993  2.33575702e-06
7.24792404e+15  0.00885768741  0.999999993  2.33948231e-06
7.2636804e+15  0.00887694325  0.999999993  2.3432076e-06
7.27943676e+15  0.0088961991  0.999999993  2.34693289e-06
7.29519311e+15  0.00891545494  0.999999993  2.35065818e-06
7.31094947e+15  0.00893471078  0.999999993  2.35438347e-06
7.32670583e+15  0.00895396662  0.999999993  2.35810876e-06
7.34246218e+15  0.00897322246  0.999999985  2.36555934e-06
7.35821854e+15  0.00899247831  0.999999993  2.36928463e-06
7.3739749e+15  0.00901173415  0.999999993  2.37300992e-06
7.38973125e+15  0.00903098999  0.999999993  2.37673521e-06
7.40548761e+15  0.00905024583  0.999999993  2.3804605e-06
7.42124397e+15  0.00906950168  0.999999993  2.38418579e-06
7.43700032e+15  0.00908875752  0.999999993  2.38791108e-06
7.45275668e+15  0.00910801336  0.999999993  2.39163637e-06
7.46851304e+15  0.0091272692  0.999999993  2.39536166e-06
7.48426939e+15  0.00914652504  0.999999993  2.39908695e-06
